السؤال,الإجابة
ما مواعيد القطارات في محطة المطار؟,تنطلق أول رحلة الساعة 6:00 صباحًا وآخرها الساعة 00:00 (منتصف الليل).
أين تقع محطة قصر الحكم؟,تقع على الخط الأزرق في وسط الرياض بالقرب من الديرة التاريخية.
هل محطة قصر الحكم مزدحمة عادة؟,"نعم، بسبب موقعها الحيوي وسط المدينة."
كم تستغرق الرحلة من محطة العليا إلى KAFD؟,حوالي 10 دقائق.
كم تستغرق الرحلة من محطة العليا إلى المتحف الوطني؟,حوالي 15 دقيقة.
كم المدة بين محطة المطار ومحطة العليا؟,حوالي 30 دقيقة.
كم تستغرق الرحلة من محطة صلاح الدين إلى محطة الرياض الجديدة؟,حوالي 25 دقيقة.
كم الوقت من محطة قصر الحكم إلى محطة المتحف الوطني؟,حوالي 6 دقائق.
كم الوقت بين محطة العليا ومحطة قصر الحكم؟,حوالي 7 دقائق.
كم تستغرق الرحلة بين محطة حطين ومحطة العليا؟,حوالي 12 دقيقة.
كم تستغرق الرحلة من محطة السويدي إلى محطة السلام؟,حوالي 18 دقيقة.
كم الوقت بين محطة المطار ومحطة KAFD؟,حوالي 20 دقيقة.
ما هو أسرع خط في المترو؟,الخط الأزرق لأنه يحتوي على أقل عدد من التوقفات.
هل تتوفر خدمة الواي فاي في المترو؟,"نعم، تتوفر خدمة الإنترنت المجانية في القطارات والمحطات."
هل يوجد مصاعد في المحطات؟,"نعم، جميع المحطات مجهزة بمصاعد للأشخاص ذوي الإعاقة."
هل يمكن استخدام بطاقة مدى للدفع؟,"نعم، يمكن الدفع باستخدام بطاقة مدى أو التطبيق الرسمي."
هل توجد كاميرات مراقبة في المحطات؟,"نعم، توجد كاميرات في كل محطة لضمان الأمان."
هل تتوفر دورات مياه في المحطات؟,"نعم، معظم المحطات تحتوي على دورات مياه عامة."
هل المحطات مكيفة بالكامل؟,"نعم، جميع المحطات والقطارات مزودة بالتكييف المركزي."
هل توجد مناطق انتظار مريحة؟,"نعم، تحتوي المحطات على مقاعد ومناطق انتظار مكيفة."
هل يمكن اصطحاب الأطفال؟,"نعم، ولكن يجب مرافقتهم من قبل شخص بالغ."
هل توجد محطات قريبة من الأسواق التجارية؟,"نعم، مثل محطة العليا القريبة من مركز المملكة التجاري."
هل يوجد نظام مفقودات في المترو؟,"نعم، يمكن الإبلاغ عن المفقودات عبر التطبيق أو في مكاتب الاستعلامات."
كم تبلغ سرعة قطارات المترو؟,تصل سرعتها القصوى إلى 90 كم/س.
هل القطارات تعمل بالكهرباء؟,"نعم، جميع القطارات كهربائية وصديقة للبيئة."
كم عدد العربات في كل قطار؟,يتكون كل قطار من 2 إلى 4 عربات حسب الخط.
هل يوجد سائق في القطار؟,"لا، المترو يعمل بنظام قيادة ذاتي بالكامل."
هل يمكن تتبع موقع القطار؟,"نعم، من خلال تطبيق مترو الرياض في الوقت الفعلي."
هل المحطات مزودة بشاشات عرض؟,"نعم، لعرض أوقات الوصول والمغادرة والاتجاهات."
هل يمكن الحجز المسبق للتذاكر؟,"نعم، يمكن الحجز إلكترونيًا عبر التطبيق."
هل يوجد نظام بطاقة اشتراك شهري؟,"نعم، لتسهيل الاستخدام اليومي وتوفير التكلفة."
هل هناك خصومات للطلاب؟,"نعم، يقدم المترو خصومات خاصة للطلاب والموظفين الحكوميين."
هل يمكن الوصول للمطار عبر المترو؟,"نعم، من خلال الخط الأصفر المتجه إلى مطار الملك خالد الدولي."
0,
متى ينطلق أول قطار من محطة الرياض إلى محطة العليا؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة المتحف الوطني؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة KAFD؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة المطار؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة قصر الحكم؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة السويدي؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة السلام؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة حطين؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة الملك عبدالله المالي؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
متى ينطلق أول قطار من محطة الرياض إلى محطة صلاح الدين؟,ينطلق أول قطار عادةً حوالي الساعة 5:30 صباحًا من محطة الرياض المركزية (وقت تقريبي وقد يختلف بضع دقائق حسب المحطة).
ما موعد آخر قطار من محطة الرياض إلى محطة العليا؟,"يغادر آخر قطار تقريبًا قبل منتصف الليل بوقت قليل — عادةً حول الساعة 23:40–23:55 حسب المحطة، ويصل بعض الوجهات بعد منتصف الليل بقليل."
ما موعد آخر قطار من محطة الرياض إلى محطة المتحف الوطني؟,يغادر الساعة 11:50 مساءً ويصل الساعة 12:05 منتصف الليل.
ما موعد آخر قطار من محطة الرياض إلى محطة KAFD؟,يغادر الساعة 11:45 مساءً ويصل الساعة 12:05 منتصف الليل.
ما موعد آخر قطار من محطة الرياض إلى محطة المطار؟,يغادر الساعة 11:40 مساءً ويصل الساعة 12:10 منتصف الليل.
ما موعد آخر قطار من محطة الرياض إلى محطة قصر الحكم؟,يغادر الساعة 11:55 مساءً ويصل الساعة 12:05 منتصف الليل.
ما موعد آخر قطار من محطة الرياض إلى محطة السويدي؟,يغادر الساعة 11:35 مساءً ويصل الساعة 00:00 (منتصف الليل).
ما موعد آخر قطار من محطة الرياض إلى محطة السلام؟,يغادر الساعة 11:30 مساءً ويصل الساعة 00:00 (منتصف الليل).
ما موعد آخر قطار من محطة الرياض إلى محطة حطين؟,يغادر الساعة 11:50 مساءً ويصل الساعة 12:05 منتصف الليل.
ما موعد آخر قطار من محطة الرياض إلى محطة الملك عبدالله المالي؟,يغادر الساعة 11:45 مساءً ويصل الساعة 00:00 (منتصف الليل).
ما موعد آخر قطار من محطة الرياض إلى محطة صلاح الدين؟,يغادر الساعة 11:50 مساءً ويصل الساعة 12:05 منتصف الليل.
كم تستغرق الرحلة من محطة الرياض إلى محطة العليا؟,تستغرق الرحلة حوالي 10 دقائق.
كم تستغرق الرحلة من محطة الرياض إلى محطة المتحف الوطني؟,حوالي 15 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة KAFD؟,حوالي 20 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة المطار؟,حوالي 25 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة قصر الحكم؟,حوالي 12 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة السويدي؟,حوالي 30 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة السلام؟,حوالي 35 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة حطين؟,حوالي 18 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة الملك عبدالله المالي؟,حوالي 22 دقيقة.
كم تستغرق الرحلة من محطة الرياض إلى محطة صلاح الدين؟,حوالي 16 دقيقة.
ما مواعيد القطارات من محطة الرياض إلى جميع المحطات في الصباح؟,تنطلق القطارات بين الساعة 6:00 و6:10 صباحًا بفاصل 3 دقائق.
ما مواعيد القطارات من محطة الرياض إلى جميع المحطات في المساء؟,تنطلق القطارات بين الساعة 10:00 و11:55 مساءً بفاصل 5 دقائق.
هل تتغير المواعيد يوم الجمعة؟,"نعم، تبدأ الخدمة الساعة 2:00 ظهرًا وتستمر حتى 00:00 (منتصف الليل)."
كم عدد الرحلات اليومية من محطة الرياض إلى محطة العليا؟,توجد أكثر من 80 رحلة يوميًا بين المحطتين.
كم عدد الرحلات اليومية من محطة الرياض إلى محطة المطار؟,حوالي 50 رحلة يوميًا في الاتجاهين.
هل تتوفر رحلات متكررة كل ساعة من محطة الرياض؟,"نعم، تغادر القطارات كل 5 دقائق تقريبًا من محطة الرياض المركزية."
هل تعمل القطارات بنفس الجدول في عطلة نهاية الأسبوع؟,"نعم، مع تقليل عدد الرحلات في الفترات الصباحية."
هل يمكن معرفة مواعيد الوصول بدقة عبر التطبيق؟,"نعم، تطبيق مترو الرياض يوفر أوقات الانطلاق والوصول في الوقت الفعلي."
هل تتأخر القطارات عن مواعيدها؟,"نادراً جدًا، إذ يتم ضبط الجداول إلكترونيًا للحفاظ على الدقة."
هل تختلف أوقات الرحلات بين الصيف والشتاء؟,"لا، المواعيد ثابتة طوال العام إلا في بعض المناسبات الرسمية."
